iter	Passed	Remaining
723	846	322
724	847	321
725	848	320
726	849	318
727	850	317
728	851	316
729	852	315
730	853	314
731	854	312
732	855	311
733	856	310
734	857	309
735	858	307
736	859	306
737	860	305
738	861	304
739	862	302
740	863	301
741	864	300
742	865	299
743	866	298
744	867	296
745	868	295
746	869	294
747	870	293
748	871	292
749	872	290
750	873	289
751	874	288
752	875	287
753	876	285
754	877	284
755	878	283
756	879	282
757	880	281
758	881	279
759	882	278
760	883	277
761	884	276
762	885	275
763	886	273
764	887	272
765	888	271
766	889	270
767	890	269
768	891	267
769	892	266
770	893	265
771	894	264
772	895	262
773	896	261
774	897	260
775	898	259
776	899	258
777	900	256
778	901	255
779	902	254
780	902	253
781	903	252
782	904	250
783	905	249
784	906	248
785	907	247
786	908	246
787	910	244
788	911	243
789	912	242
790	912	241
791	914	240
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	921	230
800	922	229
801	923	228
802	924	226
803	925	225
804	926	224
805	927	223
806	928	222
807	929	220
808	930	219
809	931	218
810	932	217
811	933	216
812	934	214
813	935	213
814	936	212
815	937	211
816	938	210
817	938	208
818	939	207
819	940	206
820	941	205
821	942	204
822	943	202
823	944	201
824	945	200
825	946	199
826	947	198
827	948	196
828	949	195
829	950	194
830	951	193
831	952	192
832	953	191
833	954	189
834	955	188
835	956	187
836	957	186
837	958	185
838	959	184
839	960	182
840	961	181
841	962	180
842	963	179
843	964	178
844	965	177
845	966	175
846	967	174
847	968	173
848	969	172
849	970	171
850	971	170
851	972	168
852	973	167
853	974	166
854	974	165
855	976	164
856	977	163
857	978	161
858	979	160
859	980	159
860	980	158
861	981	157
862	982	156
863	983	154
864	984	153
865	985	152
866	986	151
867	987	150
868	988	149
869	989	147
870	990	146
871	991	145
872	992	144
873	993	143
874	994	142
875	995	140
876	996	139
877	997	138
878	998	137
879	999	136
880	1000	135
881	1001	133
882	1002	132
883	1003	131
884	1004	130
885	1005	129
886	1006	128
887	1007	127
888	1008	125
889	1009	124
890	1010	123
891	1011	122
892	1012	121
893	1013	120
894	1014	119
895	1015	117
896	1016	116
897	1017	115
898	1018	114
899	1019	113
900	1020	112
901	1021	110
902	1022	109
903	1023	108
904	1024	107
905	1025	106
906	1026	105
907	1027	104
908	1028	102
909	1029	101
910	1030	100
911	1031	99
912	1032	98
913	1033	97
914	1034	96
915	1036	95
916	1037	93
917	1038	92
918	1039	91
919	1040	90
920	1042	89
921	1043	88
922	1044	87
923	1045	86
924	1046	84
925	1049	83
926	1050	82
927	1051	81
928	1052	80
929	1053	79
930	1054	78
931	1055	77
932	1057	75
933	1058	74
934	1058	73
935	1059	72
936	1061	71
937	1061	70
938	1063	69
939	1064	67
940	1065	66
941	1066	65
942	1068	64
943	1069	63
944	1070	62
945	1072	61
946	1073	60
947	1074	58
948	1075	57
949	1076	56
950	1077	55
951	1078	54
952	1079	53
953	1081	52
954	1082	50
955	1083	49
956	1084	48
957	1085	47
958	1086	46
959	1088	45
960	1089	44
961	1090	43
962	1092	41
963	1093	40
964	1094	39
965	1095	38
966	1096	37
967	1097	36
968	1098	35
969	1099	33
970	1100	32
971	1101	31
972	1102	30
973	1103	29
974	1104	28
975	1106	27
976	1107	26
977	1108	24
978	1110	23
979	1111	22
980	1112	21
981	1114	20
982	1115	19
983	1116	18
984	1117	17
985	1118	15
986	1119	14
987	1121	13
988	1122	12
989	1123	11
990	1124	10
991	1125	9
992	1127	7
993	1128	6
994	1130	5
995	1131	4
996	1133	3
997	1134	2
998	1136	1
999	1137	0
